正字,異体字
軣,轟
轢,轣
轢,轣
辞,辭
弁,辧
瓣,辧
辧,辨
辧,辯
弁,辨
瓣,辨
辧,辨
辨,辯
辞,辭
弁,辯
瓣,辯
辧,辯
辨,辯
辺,邉
辺,邊
迩,邇
廸,迪
迯,逃
恢,迴
囘,迴
回,迴
廻,迴
蛔,迴
跡,迹
蹟,迹
廼,迺
却,退
卻,退
迯,逃
逅,遘
逎,遒
逓,遞
径,逕
徑,逕
聨,連
聯,連
逹,達
遅,遲
逎,遒
逹,達
逅,遘
遙,遥
逓,遞
泝,遡
溯,遡
遙,遥
遅,遲
迩,邇
辺,邉
邉,邊
辺,邊
邉,邊
村,邨
鄰,隣
酔,醉
酢,醋
酔,醉
酢,醋
溌,醗
発,醗
發,醗
医,醫
醸,釀
醸,釀
釈,釋
釈,釋
埜,野
刀,釖
釜,釡
釜,釡
釶,鉈
劍,釼
剣,釼
剱,釼
劒,釼
劔,釼
鈎,鉤
鈩,鑪
鈬,鐸
鉄,銕
鉄,鐡
鉄,鐵
釶,鉈
鈎,鉤
砿,鉱
礦,鉱
鉱,鑛
鉄,銕
銕,鐡
銕,鐵
啣,銜
銭,錢
銹,鏥
舖,鋪
舗,鋪
補,鋪
鋳,鑄
錏,鐚
銭,錢
溶,鎔
熔,鎔
鎭,鎮
鎭,鎮
銹,鏥
錏,鐚
鉄,鐡
銕,鐡
鐡,鐵
鉄,鐵
銕,鐵
鐡,鐵
鈬,鐸
鋳,鑄
鑑,鑒
鑑,鑒
鑚,鑽
砿,鑛
礦,鑛
鉱,鑛
爍,鑠
鈩,鑪
鑚,鑽
閇,閉
閇,閉
閏,閠
閙,鬧
閏,閠
函,関
凾,関
関,關
活,闊
濶,闊
闘,鬥
闘,鬪
函,關
凾,關
関,關
坂,阪
址,阯
坡,陂
付,附
陏,隋
陥,陷
嶋,陦
島,陦
嶌,陦
蔭,陰
陥,陷
険,險
陏,隋
随,隨
墻,障
牆,障
隠,隱
鄰,隣
随,隨
険,險
隠,隱
隷,隸
隷,隸
雁,鳫
雁,鴈
收,集
収,集
聚,集
蒐,集
輯,集
雑,雜
襍,雑
双,雙
襍,雜
雑,雜
霊,靈
覇,霸
霊,靈
静,靜
静,靜
包,靤
疱,靤
皰,靤
靫,靭
靫,靱
靫,靭
靭,靱
靫,靱
靭,靱
靹,鞆
靹,鞆
襪,韈
韭,韮
韭,韮
韲,齏
韵,韻
韵,韻
頚,頸
穎,頴
頚,頸
腮,顋
顏,顔
顏,顔
顕,顯
顕,顯
台,颱
臺,颱
飃,飄
飃,飄
翻,飜
喰,食
蝕,食
飮,飲
飮,飲
飾,餝
餅,餠
余,餘
飾,餝
餅,餠
舘,館
馴,駲
駅,驛
駆,駈
駆,驅
駆,駈
駈,驅
馴,駲
騒,騷
験,驗
騒,騷
駈,驅
駆,驅
験,驗
駅,驛
歓,驩
歡,驩
膸,髄
髄,髓
膸,髓
髄,髓
体,體
躰,體
軆,體
髪,髮
髪,髮
彿,髴
闘,鬥
鬥,鬪
閙,鬧
闘,鬪
鬥,鬪
欝,鬱
粥,鬻
鯵,鰺
鰛,鰮
鰛,鰮
鰲,鼇
鯵,鰺
膾,鱠
鳧,鳬
雁,鳫
鳫,鴈
鳧,鳬
雁,鴈
鳫,鴈
鴟,鵄
鴬,鶯
鴟,鵄
鵝,鵞
鵝,鵞
鶇,鶫
鶏,鷄
鶇,鶫
鴬,鶯
寉,鶴
鶏,鷄
鷆,鷏
鷆,鷏
