正字,異体字
佞,侫
妍,姸
嫋,嬝
嫦,姮
嫩,嫰
嫺,嫻
嬲,嫐
尠,尟
尢,尣
屏,屛
崑,崐
崙,崘
嵌,篏
嶢,嶤
巒,峦
幇,幚
幇,幫
廸,迪
彝,彜
彎,弯
彑,彐
彗,蔧
彿,髴
徊,佪
很,佷
徇,狥
徭,傜
怱,忩
怱,悤
悍,猂
悋,恡
悴,忰
慍,愠
愨,慤
愧,媿
慙,慚
憖,憗
憖,慭
憔,嫶
憚,惮
憑,慿
懣,懑
懺,懴
戛,戞
扠,扨
捏,揑
擡,抬
攬,擥
攅,攢
攣,挛
攫,爴
斟,酙
旆,斾
旛,旙
晢,晣
曠,昿
朶,朵
傑,杰
档,檔
椢,槶
棕,椶
楫,檝
槁,槀
榴,橊
槞,櫳
樅,枞
樒,櫁
檗,蘗
櫟,檪
欅,櫸
櫺,欞
櫺,棂
欒,栾
歟,欤
歿,殁
殲,殱
毟,毮
氈,毡
氈,氊
汳,汴
泯,冺
洶,汹
滾,滚
滲,渗
滲,涁
潸,澘
澳,澚
炯,烱
煕,熈
煕,熙
煕,凞
熏,燻
熹,暿
熹,熺
燼,烬
爿,丬
犂,犁
犲,豺
狢,貉
倏,倐
猊,貎
猯,貒
猩,狌
獏,貘
玳,瑇
琅,瑯
瑙,碯
瑶,瑤
瓔,珱
甌,瓯
畭,畬
畭,畲
疆,壃
疆,畺
疆,疅
疇,畴
疣,肬
瘤,癅
瘻,瘘
癇,癎
皎,晈
皖,晥
皸,皹
盪,蘯
眥,眦
眷,睠
瞠,瞪
瞰,矙
矚,瞩
稟,禀
筐,筺
笄,筓
筍,笋
筍,箰
箏,筝
籌,筹
籐,籘
籤,籖
粳,稉
粳,秔
粽,糭
絅,綗
絋,絖
絋,纊
絆,靽
絛,縧
繦,繈
繃,綳
纃,緕
纉,纘
罌,甇
网,罒
网,罓
羈,羇
羈,覊
羹,羮
耋,耊
胚,肧
腆,倎
脾,腗
胼,腁
膂,膐
膣,腟
膾,脍
臘,臈
艫,舮
艱,囏
苡,苢
苺,莓
茘,荔
莅,蒞
莢,荚
萼,蕚
薺,萕
藜,蔾
蘊,藴
蘊,薀
蘊,蕰
虱,蝨
蚋,蜹
蛛,蟵
雖,虽
蟇,蟆
螻,蝼
蠎,蟒
蠹,蠧
蠹,螙
衄,衂
袞,衮
衽,袵
裙,裠
裴,裵
褓,緥
襌,褝
襠,裆
襭,擷
襾,覀
覓,覔
訶,哬
謚,諡
謫,讁
譖,譛
谺,岈
貂,鼦
貔,豼
齎,賷
齎,賫
贓,賍
贓,贜
蹶,蹷
躊,踌
躙,躪
躬,躳
輙,輒
輜,輺
輌,輛
轜,輀
辣,辢
迥,逈
遒,逎
邁,迈
釁,舋
釁,衅
鉈,鉇
銜,衘
銷,焇
錙,鍿
鏥,鏽
鑪,鈩
鑽,鑚
閙,鬧
閹,剦
闊,濶
闃,閴
陜,陿
陟,徏
陦,隯
隲,騭
雋,隽
韜,鞱
齏,韲
韻,韵
韻,匀
頤,頥
頽,頹
飄,飃
飆,颷
飆,飈
飆,飇
飆,飊
駢,騈
騾,驘
驕,憍
驢,馿
髯,髥
鬢,鬂
鬢,髩
鬢,鬓
鰮,鰛
鰤,魳
鱸,魲
鳧,鳬
鴉,鵶
鴟,鵄
鵝,鵞
鶇,鶫
鶤,鵾
鷆,鷏
麩,麸
麩,麬
鼈,鱉
齔,齓
齶,腭
役,伇
兪,俞
偬,傯
慢,僈
兌,兊
凭,凴
別,别
剏,刱
剏,剙
刹,剎
戮,剹
劃,劐
勁,劲
廿,卄
率,卛
艸,卝
膝,厀
夬,叏
尉,叞
難,叵
告,吿
呱,哌
嚇,哧
邑,唈
奸,姧
奸,姦
寧,寜
尚,尙
尩,尫
屡,屢
寅,帍
寅,刁
并,幷
奕,弈
於,扵
校,挍
槌,搥
